StudyHours,Attendance,InternalMarks,PreviousScore,TotalMarks,Result
6.55,80.97,28.91,32.39,131.25,1
6.76,76.66,24.59,58.06,137.14,1
9.0,90.96,21.16,87.05,165.65,1
6.55,90.91,21.81,63.98,140.37,1
6.33,70.53,20.78,23.5,109.11,1
1.13,60.09,24.14,89.21,111.63,1
5.42,74.91,18.38,30.98,105.54,1
1.93,87.27,23.38,70.26,116.69,1
7.51,30.4,12.43,57.28,104.5,1
5.37,99.44,15.31,40.61,115.27,1
6.96,42.8,26.72,32.41,115.16,1
0.9,62.92,28.07,32.44,88.89,1
1.31,91.04,20.78,80.09,115.49,1
7.31,45.75,10.63,81.1,118.65,1
1.18,63.38,28.54,52.56,101.52,1
1.18,39.28,24.04,27.25,72.48,1
0.62,57.66,18.28,81.89,95.15,1
9.59,42.4,21.97,54.09,134.5,1
7.51,55.45,18.6,50.71,120.5,1
3.86,56.14,19.31,48.51,98.84,1
3.32,99.52,27.74,45.55,124.11,1
3.82,99.64,13.22,56.82,111.02,1
7.86,38.04,12.07,62.32,111.64,1
6.78,80.82,10.05,52.65,114.41,1
2.26,33.62,16.28,82.77,92.81,1
2.15,32.11,12.95,42.24,66.29,1
1.43,37.37,14.4,60.48,75.37,1
6.77,97.58,10.22,41.0,115.48,1
7.76,95.86,14.54,72.73,143.08,1
3.02,43.57,16.65,27.15,74.1,1
0.7,41.32,10.63,33.21,53.28,1
1.28,46.84,22.16,76.08,97.7,1
9.69,66.09,21.38,32.82,133.06,1
3.31,69.88,11.94,63.8,97.62,1
7.81,45.51,21.9,87.92,141.87,1
6.43,82.96,29.97,56.6,145.02,1
4.13,51.67,28.89,33.12,105.34,1
2.45,94.55,10.05,42.45,88.82,1
1.65,75.97,25.91,77.64,117.97,1
6.34,60.54,17.07,44.62,110.17,1
7.86,85.29,11.27,70.65,133.51,1
6.62,87.25,15.92,74.41,135.7,1
5.54,50.33,16.43,55.08,105.56,1
0.9,53.78,20.46,74.82,95.01,1
9.7,95.52,23.22,42.18,152.33,1
8.09,41.53,24.98,56.13,130.69,1
3.28,32.95,14.92,68.06,89.27,1
9.81,61.78,16.44,31.77,124.12,1
6.22,86.08,16.17,39.15,115.58,1
6.03,84.02,17.25,65.64,128.48,1
7.61,94.37,29.99,65.88,161.33,1
8.21,67.32,25.56,54.53,141.79,1
6.74,37.0,29.5,75.69,137.33,1
1.72,71.21,23.86,53.74,101.46,1
3.71,84.49,18.13,81.69,124.1,1
9.32,36.53,17.79,71.51,132.97,1
2.63,42.09,19.77,42.03,83.29,1
4.04,30.86,18.34,47.67,87.93,1
4.6,71.56,26.57,66.74,129.45,1
4.67,92.07,19.3,82.61,135.1,1
6.32,76.95,15.91,32.51,108.82,1
9.46,98.74,25.5,56.03,162.52,1
2.79,34.41,27.09,28.31,85.29,1
1.65,93.21,18.41,39.56,94.58,1
2.38,86.98,23.36,68.02,118.12,1
8.93,52.0,11.18,25.44,103.87,1
6.64,98.15,20.59,66.37,143.17,1
3.22,50.16,10.9,83.06,97.26,1
8.25,92.25,10.58,87.86,146.2,1
8.68,91.65,22.26,35.16,139.71,1
8.54,83.04,16.07,72.42,144.77,1
9.23,69.44,24.85,84.85,162.86,1
2.9,38.4,27.92,26.4,87.84,1
7.67,67.24,12.79,48.98,116.59,1
4.88,54.98,24.49,84.36,130.19,1
8.5,85.46,20.29,34.2,132.72,1
7.42,83.07,12.24,85.36,138.79,1
7.88,93.74,23.03,56.9,147.77,1
6.73,31.04,22.19,26.99,99.58,1
2.19,86.64,20.31,51.49,104.01,1
5.68,95.69,28.53,42.84,136.57,1
9.85,85.25,20.42,39.75,143.7,1
9.41,39.11,29.81,57.9,145.77,1
0.91,35.69,20.18,53.85,76.93,1
2.07,31.46,12.32,53.74,70.35,1
1.75,74.01,19.41,26.17,82.3,1
7.4,74.08,13.65,76.16,132.59,1
8.27,99.08,21.94,53.7,149.01,1
2.53,57.86,23.86,77.46,112.84,1
5.31,53.23,19.37,77.72,121.07,1
8.49,73.71,11.95,42.2,119.45,1
7.46,87.79,19.37,20.3,119.08,1
5.65,95.57,11.63,83.79,131.47,1
6.11,86.22,23.64,73.25,143.23,1
5.33,59.87,25.81,27.51,108.4,1
3.33,74.44,29.25,69.12,128.19,1
5.87,89.94,12.98,21.4,101.37,1
7.04,64.34,20.65,21.94,109.92,1
8.8,45.17,21.35,56.81,131.3,1
6.54,41.88,28.45,26.72,112.03,1
7.73,30.01,22.55,87.5,135.96,1
2.02,80.28,12.91,82.57,104.88,1
4.88,37.78,18.73,65.49,105.23,1
0.59,47.07,23.1,24.46,69.25,1
2.84,50.85,24.01,42.74,94.77,1
7.4,69.23,27.26,46.02,135.99,1
9.92,57.86,13.61,53.66,129.91,1
1.44,77.23,29.03,31.82,98.99,1
4.31,33.89,11.18,60.43,86.4,1
8.1,38.68,29.68,50.5,133.84,1
2.44,64.94,27.16,86.31,124.51,1
5.77,53.59,23.21,85.53,133.64,1
7.46,50.71,24.7,59.58,131.88,1
6.35,34.69,11.45,65.1,101.7,1
2.29,92.7,10.83,29.65,81.89,1
3.88,78.43,12.04,35.63,90.53,1
7.95,38.51,11.75,83.05,122.25,1
5.77,34.55,20.95,68.94,114.34,1
0.55,98.24,14.31,33.26,80.69,1
7.73,77.68,27.2,59.91,148.21,1
0.84,59.22,18.91,85.43,99.81,1
7.58,79.12,23.91,44.16,135.07,1
2.42,82.94,23.06,33.01,98.79,1
9.6,84.6,16.4,85.94,159.01,1
4.0,63.45,14.86,52.29,97.82,1
3.61,60.09,16.85,49.21,95.58,1
1.91,30.77,25.93,38.73,82.03,1
3.4,94.86,21.73,82.41,132.14,1
8.83,72.23,15.07,79.19,144.07,1
9.97,44.22,26.36,48.21,141.15,1
4.0,94.37,11.1,22.14,89.47,1
4.76,94.05,23.98,51.27,127.78,1
7.36,99.24,18.78,32.66,128.36,1
8.92,91.18,24.63,29.99,141.93,1
6.13,99.84,28.55,47.52,143.3,1
4.22,47.13,25.0,26.94,95.14,1
4.42,88.96,18.84,87.02,133.87,1
7.11,87.61,13.02,23.33,108.9,1
0.53,46.17,26.13,48.1,84.89,1
6.39,36.89,19.21,31.39,97.61,1
3.88,98.56,11.51,68.22,114.08,1
8.04,50.72,24.38,25.52,117.86,1
1.38,90.96,15.84,58.28,97.56,1
6.09,30.29,10.98,74.12,102.19,1
5.07,31.47,28.06,86.5,128.35,1
6.6,62.61,19.66,68.9,128.58,1
1.12,46.71,15.62,26.96,62.31,1
6.01,78.29,24.33,26.2,116.97,1
5.83,69.59,27.72,71.21,140.0,1
5.83,35.42,10.01,35.07,81.7,1
6.23,41.38,23.76,51.31,115.23,1
6.93,57.16,25.34,88.36,146.63,1
8.15,42.99,14.2,77.39,126.09,1
3.06,85.46,19.79,79.26,121.86,1
8.34,59.12,11.79,80.25,131.5,1
5.23,36.54,24.93,63.37,115.08,1
1.23,63.9,26.95,72.08,109.4,1
1.06,36.36,12.16,45.13,61.71,1
3.68,39.03,26.33,89.89,122.13,1
7.96,46.77,25.43,39.57,124.4,1
7.22,90.17,16.94,61.3,135.45,1
7.99,94.72,23.81,39.74,141.41,1
5.41,87.84,10.0,27.84,96.52,1
4.68,53.39,28.64,59.73,122.26,1
1.9,49.07,21.01,44.73,84.91,1
3.62,68.44,22.41,60.83,113.13,1
4.62,80.53,23.29,59.11,124.42,1
1.34,99.54,21.23,57.96,108.68,1
2.6,39.21,27.14,28.63,86.31,1
6.18,33.45,22.19,50.81,109.15,1
7.49,78.6,28.16,76.84,157.04,1
9.98,88.26,21.65,42.06,148.69,1
9.36,89.24,13.42,51.07,137.52,1
6.6,77.49,28.27,54.57,140.29,1
4.5,96.78,23.63,80.39,141.35,1
6.54,65.77,23.98,65.89,134.46,1
7.96,93.97,29.71,27.01,143.42,1
1.62,97.75,11.5,80.56,106.35,1
4.39,89.3,18.57,78.24,129.04,1
8.48,51.68,14.78,72.76,130.1,1
4.15,43.74,22.61,52.62,102.62,1
5.93,68.37,26.14,73.03,138.65,1
6.08,61.71,29.33,53.51,131.91,1
2.25,91.44,19.09,71.56,114.49,1
3.94,37.0,25.72,81.61,117.82,1
3.68,48.04,28.34,82.34,124.98,1
0.75,82.63,23.67,51.82,98.97,1
0.73,36.65,14.85,80.15,81.39,1
8.4,52.45,22.16,27.1,118.17,1
3.09,57.1,29.4,27.13,99.04,1
5.42,73.58,29.75,58.38,135.77,1
3.34,41.07,22.85,65.63,103.56,1
9.44,90.24,27.74,30.71,149.7,1
2.96,61.33,14.01,53.05,89.83,1
4.58,94.19,14.92,26.61,100.84,1
8.79,62.75,29.06,62.15,152.5,1
8.5,49.25,12.7,79.86,129.68,1
2.27,39.93,13.82,71.63,86.14,1
8.13,30.26,18.41,46.48,111.74,1
4.85,67.25,21.79,89.57,133.47,1
5.09,37.5,22.08,66.41,111.86,1
1.77,57.42,15.84,77.07,95.88,1
1.27,71.25,28.41,66.88,112.18,1
7.42,49.3,28.3,89.26,151.32,1
5.22,42.27,17.84,77.5,113.74,1
4.65,84.23,18.69,56.36,117.81,1
7.43,96.28,24.05,45.68,142.01,1
7.77,37.03,23.26,67.75,130.2,1
2.01,40.89,17.65,61.32,85.55,1
6.3,97.2,18.28,64.05,136.12,1
1.79,32.64,16.96,44.01,71.24,1
7.64,98.43,14.71,50.01,132.28,1
6.74,30.33,19.16,59.07,110.85,1
9.59,91.16,23.73,78.75,168.97,1
1.16,51.51,24.84,73.4,101.52,1
1.04,95.7,25.58,28.31,97.04,1
3.18,52.19,17.49,37.19,84.79,1
2.99,75.8,25.29,21.87,97.13,1
2.85,35.6,10.13,20.56,56.82,1
9.11,46.96,19.54,35.71,120.61,1
2.87,84.16,25.88,75.95,127.68,1
3.08,67.01,22.6,83.33,120.85,1
7.71,94.96,19.48,47.42,137.17,1
4.77,60.01,22.89,59.42,116.67,1
7.88,90.89,28.14,69.42,160.56,1
1.12,61.43,21.33,86.71,106.64,1
5.13,98.55,26.0,83.91,151.16,1
0.82,97.19,29.61,24.0,100.21,1
1.1,53.04,24.11,37.37,82.67,1
9.11,92.01,21.47,23.44,135.39,1
1.82,89.33,10.75,63.16,94.36,1
5.56,44.75,17.49,69.73,112.36,1
4.41,73.7,21.31,41.58,108.7,1
3.8,35.09,25.94,79.77,115.63,1
9.05,88.57,18.76,51.7,143.72,1
0.71,42.22,29.2,89.89,109.89,1
6.81,34.96,15.44,20.03,88.02,1
9.65,58.02,24.89,27.66,132.27,1
5.82,70.38,18.38,41.13,111.21,1
9.4,89.84,19.72,21.79,132.81,1
1.0,98.2,26.05,74.76,121.74,1
4.48,60.76,15.92,23.69,86.91,1
2.97,34.23,11.94,72.43,85.64,1
7.44,82.44,20.41,23.68,120.07,1
9.82,69.56,20.58,37.69,136.46,1
2.94,61.35,25.94,78.89,120.54,1
6.71,51.65,29.37,86.58,148.26,1
2.38,65.17,11.11,49.02,81.52,1
5.87,53.71,21.83,87.9,133.4,1
4.91,82.99,23.63,63.88,130.04,1
9.73,68.07,29.72,49.11,154.74,1
6.28,91.38,28.85,76.2,155.61,1
3.82,68.05,24.25,40.67,106.85,1
1.58,46.68,20.44,38.61,78.12,1
1.94,89.58,13.23,65.96,100.3,1
2.64,69.01,17.68,47.33,93.63,1
2.88,44.48,21.7,29.51,82.38,1
8.58,73.65,24.5,24.69,130.04,1
5.83,55.04,22.71,75.15,128.64,1
5.47,89.11,24.28,67.31,138.54,1
1.59,61.73,18.58,48.83,86.52,1
8.67,80.85,24.55,82.74,162.55,1
7.37,36.69,12.87,48.76,102.58,1
1.14,57.72,13.25,69.72,84.66,1
7.22,98.83,13.26,83.64,144.56,1
5.66,86.59,27.82,78.85,149.75,1
1.28,41.2,11.52,55.78,69.33,1
4.85,49.44,26.03,67.64,121.74,1
5.1,53.09,14.67,48.96,98.32,1
2.07,75.53,19.37,65.3,104.34,1
9.48,82.99,28.32,38.03,151.57,1
8.57,82.47,21.72,50.43,142.2,1
6.86,65.69,14.2,34.67,106.07,1
4.89,86.76,15.68,22.67,98.9,1
4.41,60.6,28.41,61.2,123.92,1
6.68,38.67,18.54,80.51,123.61,1
5.68,69.51,21.74,21.79,105.39,1
1.09,96.66,19.2,33.72,90.86,1
5.37,85.51,17.57,52.21,118.88,1
8.16,70.51,14.47,66.61,132.17,1
4.86,75.28,23.72,31.99,110.85,1
0.99,95.14,24.36,23.97,92.52,1
7.97,59.98,15.5,56.33,123.23,1
2.41,53.2,25.78,77.31,113.06,1
2.96,98.41,27.09,22.47,108.99,1
2.06,90.44,28.41,44.46,113.38,1
3.64,52.61,13.22,66.45,95.94,1
7.69,62.46,16.08,29.15,109.82,1
5.43,59.06,27.21,36.52,115.28,1
2.45,40.44,13.97,57.48,80.57,1
8.84,97.05,10.07,86.73,150.33,1
8.86,58.3,27.42,40.11,137.66,1
8.77,91.27,16.53,54.13,140.99,1
2.77,43.25,18.29,48.0,85.36,1
4.79,68.35,18.93,82.82,125.88,1
9.86,31.68,26.97,25.03,124.8,1
7.83,83.5,16.76,59.63,135.34,1
0.76,70.66,27.85,79.23,114.21,1
1.12,73.79,22.34,89.17,114.33,1
4.91,33.62,20.55,68.91,108.19,1
9.14,44.77,16.51,46.6,120.81,1
5.62,35.2,14.87,48.83,94.52,1
5.23,50.22,22.48,44.62,107.5,1
1.5,73.92,18.94,62.25,98.1,1
6.74,69.63,28.21,71.76,146.49,1
8.31,72.85,19.83,77.36,147.43,1
4.11,68.45,20.24,49.16,106.98,1
7.87,49.11,18.33,70.17,129.44,1
9.66,47.12,25.79,84.14,157.56,1
2.44,39.59,18.5,84.46,100.46,1
5.47,89.43,15.39,69.28,126.32,1
3.23,73.15,27.24,64.58,121.79,1
8.03,43.06,21.94,57.21,126.92,1
5.99,42.4,21.83,32.82,102.06,1
6.53,91.11,22.22,28.65,123.28,1
8.08,81.99,24.38,54.0,144.85,1
4.26,76.16,16.26,31.16,95.99,1
9.19,58.48,10.68,60.39,124.75,1
5.56,48.34,26.21,65.2,124.61,1
2.0,98.56,12.58,56.79,98.69,1
7.11,85.81,24.44,22.55,124.92,1
8.04,51.12,11.65,24.04,98.18,1
3.51,89.33,17.51,27.93,97.02,1
8.64,83.13,11.26,30.76,117.36,1
9.11,50.8,20.44,89.29,150.28,1
3.13,59.86,23.06,44.11,99.37,1
9.84,43.02,13.43,40.44,116.61,1
1.84,37.77,17.43,23.66,64.12,1
2.42,80.59,28.6,64.47,121.89,1
2.25,48.73,18.85,65.65,94.09,1
8.99,87.4,26.05,32.28,144.12,1
6.72,99.69,28.54,84.35,165.18,1
1.94,35.36,29.49,76.03,108.03,1
4.68,63.11,27.97,36.12,113.34,1
6.35,86.14,16.35,54.01,124.09,1
1.29,85.23,29.25,52.09,111.75,1
8.88,83.2,26.25,44.4,148.14,1
8.13,54.43,26.74,77.23,149.28,1
5.3,61.77,10.3,27.65,85.78,1
9.69,71.65,29.08,49.07,154.96,1
4.47,98.18,25.56,49.96,129.41,1
9.85,52.93,25.36,52.81,144.72,1
6.85,94.62,11.63,80.29,136.54,1
6.53,48.85,14.65,35.27,98.33,1
2.08,99.24,29.25,27.2,109.65,1
8.88,76.92,20.01,63.25,145.69,1
4.56,62.45,17.96,32.17,95.36,1
2.04,72.94,26.8,25.25,94.24,1
0.62,49.08,11.75,49.87,65.91,1
5.82,49.19,18.34,35.38,99.8,1
5.51,37.95,17.51,45.29,97.15,1
7.33,37.98,17.0,38.18,103.76,1
8.96,54.34,16.15,26.48,112.96,1
1.25,83.4,14.2,59.22,91.77,1
7.45,72.56,13.46,21.89,104.86,1
2.28,37.18,22.81,87.65,106.59,1
8.65,89.66,28.39,43.89,152.29,1
8.28,72.1,20.18,68.66,143.12,1
5.64,97.26,15.96,76.73,135.05,1
7.25,76.91,13.18,39.54,113.8,1
3.49,42.26,26.6,72.41,113.95,1
4.98,63.16,29.43,78.27,138.42,1
8.31,75.39,16.98,36.89,123.93,1
4.86,31.98,15.82,89.47,110.42,1
3.9,31.04,22.03,21.45,79.59,1
5.2,39.06,25.51,35.19,102.68,1
8.37,47.62,19.11,74.6,135.23,1
3.68,60.07,22.6,33.59,96.8,1
2.15,64.12,24.33,68.88,109.48,1
7.26,39.66,29.21,79.89,143.18,1
8.35,77.14,13.3,87.14,144.48,1
1.46,71.73,29.95,53.2,108.98,1
2.78,50.61,17.84,87.98,107.67,1
1.85,30.96,24.46,48.81,84.58,1
3.81,35.44,21.45,35.27,86.85,1
4.78,57.42,19.73,55.97,109.23,1
7.61,40.78,23.96,65.49,130.66,1
6.69,56.38,17.92,52.06,115.6,1
6.4,73.97,12.52,59.69,116.61,1
3.85,68.31,19.78,49.15,104.67,1
8.49,46.18,20.44,56.73,128.44,1
4.98,54.07,14.04,86.68,115.91,1
9.8,72.98,28.71,54.99,158.55,1
6.52,90.26,14.55,37.72,115.91,1
1.7,82.72,18.18,73.11,107.11,1
6.92,68.74,13.1,43.63,110.48,1
3.59,55.36,20.72,77.13,113.33,1
7.02,55.55,16.15,23.98,100.56,1
1.16,91.56,19.79,43.25,94.89,1
2.16,32.75,14.49,26.61,61.1,1
8.63,99.16,11.08,25.97,121.05,1
2.66,76.51,25.58,66.09,117.98,1
8.45,77.68,22.82,46.97,139.49,1
3.15,32.66,16.81,81.0,97.68,1
6.61,72.39,10.95,56.15,113.12,1
7.09,63.93,27.31,40.67,129.41,1
5.37,37.4,13.4,70.46,102.51,1
3.4,49.45,28.61,63.68,114.94,1
2.52,92.32,19.57,75.97,119.39,1
0.82,68.5,16.81,65.05,90.06,1
3.39,58.94,24.84,31.69,97.02,1
6.71,35.09,27.54,66.92,129.07,1
9.41,79.99,17.41,47.41,138.28,1
8.78,79.2,18.15,52.42,137.79,1
7.78,72.98,18.66,84.51,146.12,1
7.99,65.72,28.45,45.2,139.5,1
6.82,60.36,23.85,62.84,132.26,1
2.97,71.53,14.95,45.44,91.58,1
9.12,46.34,13.7,26.63,107.12,1
6.87,95.89,14.61,51.75,127.37,1
5.82,71.22,15.27,61.79,117.21,1
1.55,51.78,14.6,48.53,76.18,1
4.75,61.48,23.17,47.35,111.52,1
4.87,86.4,12.32,77.43,120.98,1
8.71,41.31,17.75,22.08,106.45,1
5.69,50.5,22.5,40.69,108.44,1
4.11,77.57,15.82,76.82,117.83,1
9.78,52.08,11.31,84.44,138.7,1
1.55,85.48,11.64,48.86,85.38,1
4.51,39.13,12.52,82.22,102.6,1
0.9,83.39,26.72,33.93,95.8,1
7.53,34.78,23.16,35.5,111.58,1
9.22,30.88,11.29,79.23,124.22,1
3.16,92.88,17.82,83.23,124.46,1
8.65,70.69,15.57,35.6,121.33,1
3.28,54.63,21.56,24.15,85.95,1
9.15,46.28,20.46,26.32,117.26,1
7.66,73.18,19.62,38.3,123.81,1
8.15,65.63,16.29,73.3,136.24,1
0.67,99.41,12.76,55.7,90.77,1
9.65,98.83,24.85,51.89,160.65,1
7.4,74.45,27.6,60.89,146.02,1
3.4,61.0,28.88,82.32,129.28,1
8.38,64.38,11.17,26.33,105.95,1
3.17,77.77,24.8,68.63,121.64,1
8.79,37.11,24.53,84.88,146.82,1
1.57,52.98,28.94,34.93,91.49,1
7.19,35.27,15.06,78.64,119.16,1
5.64,35.14,24.84,68.86,119.59,1
1.42,43.71,11.09,21.01,53.14,1
2.8,63.97,22.62,36.21,94.42,1
0.62,84.93,17.02,62.41,94.43,1
4.95,63.98,25.38,55.17,120.95,1
3.36,53.48,27.27,56.96,110.94,1
6.18,35.76,17.3,36.24,95.45,1
3.32,68.52,20.51,67.25,111.72,1
3.35,48.99,12.35,38.65,77.55,1
7.56,73.05,18.34,47.26,125.72,1
0.96,98.4,17.22,45.82,93.86,1
9.08,37.79,13.66,67.04,123.61,1
8.6,44.85,27.89,26.32,124.54,1
6.84,63.12,12.96,34.39,102.92,1
6.14,97.8,22.71,34.03,127.04,1
8.98,84.03,27.8,27.59,142.99,1
2.26,92.88,28.24,34.53,110.34,1
1.25,53.36,25.86,62.49,98.88,1
2.78,99.44,13.52,71.25,112.36,1
8.05,37.2,26.35,66.22,135.82,1
0.83,33.71,15.53,53.26,68.39,1
6.04,89.89,28.45,23.67,126.71,1
9.96,94.91,24.18,87.13,177.56,1
8.63,36.34,25.71,31.77,120.77,1
5.45,37.94,11.7,66.79,98.82,1
1.1,32.32,21.66,83.9,93.97,1
8.4,37.32,26.42,68.84,139.38,1
6.19,44.66,27.23,35.26,113.48,1
1.59,97.91,10.57,42.11,85.61,1
1.39,76.75,28.78,22.11,93.27,1
9.14,84.5,10.87,62.89,136.39,1
6.86,84.33,22.29,62.91,139.78,1
8.38,67.46,23.87,70.79,148.46,1
8.85,85.82,12.15,20.77,116.04,1
5.93,71.71,10.96,77.25,119.33,1
5.42,52.02,25.7,71.71,127.73,1
4.59,69.28,17.69,29.86,96.72,1
3.51,67.35,12.14,44.33,88.38,1
4.63,87.64,25.25,64.7,133.06,1
7.85,98.72,26.98,54.71,154.41,1
6.22,58.77,21.75,28.06,107.48,1
8.98,83.44,13.22,26.11,120.14,1
4.71,36.98,10.3,74.7,95.85,1
6.27,84.38,24.02,30.92,122.86,1
6.5,56.0,21.0,32.05,108.93,1
6.12,32.76,23.02,78.16,123.43,1
7.18,55.43,26.26,62.85,136.07,1
2.76,72.74,18.68,62.33,104.84,1
5.37,38.35,12.49,53.55,93.07,1
1.49,94.68,28.8,59.83,119.93,1
4.15,35.44,20.91,62.12,101.5,1
5.13,95.1,22.31,87.75,146.16,1
6.7,79.5,28.67,35.61,132.81,1
9.53,53.08,28.63,35.02,138.87,1
6.21,57.35,21.44,24.01,104.36,1
7.56,81.86,15.95,66.07,135.06,1
5.31,72.1,29.94,58.43,134.83,1
6.52,77.02,23.62,27.79,119.25,1
1.17,57.24,18.17,45.52,79.93,1
2.92,64.15,21.2,32.51,91.24,1
3.94,99.29,18.32,43.2,112.44,1
4.99,44.97,27.77,86.59,132.88,1
0.93,59.25,19.65,67.83,92.67,1
1.83,50.43,26.47,20.53,81.12,1
3.13,83.56,26.8,37.68,111.24,1
9.73,83.48,26.49,20.73,141.87,1
3.65,50.47,24.44,70.04,113.77,1
5.08,35.7,27.1,52.86,111.84,1
2.36,30.8,17.74,89.58,97.88,1
6.3,59.92,12.29,71.35,115.88,1
3.17,58.72,26.85,56.25,110.91,1
2.47,99.19,19.96,76.33,122.6,1
5.41,62.89,12.55,69.34,111.11,1
0.55,47.95,12.31,37.06,59.48,1
0.57,92.39,13.18,57.12,88.71,1
2.58,64.37,25.02,58.92,108.22,1
0.85,71.94,24.22,51.59,96.0,1
1.53,36.7,14.08,32.54,61.25,1
3.72,56.8,26.94,35.64,103.27,1
8.12,96.1,15.63,39.67,130.44,1
5.93,71.27,25.86,20.72,113.24,1
5.37,54.12,19.78,84.19,125.63,1
3.29,73.8,24.63,68.03,120.22,1
9.35,93.73,17.63,68.27,154.17,1
4.27,49.18,16.94,60.06,100.73,1
1.33,65.36,26.83,68.25,108.49,1
6.36,97.11,10.71,88.73,137.43,1
1.58,42.07,29.49,46.96,94.02,1
3.78,80.38,22.96,69.88,124.21,1
5.32,73.01,18.65,45.17,111.68,1
8.81,77.58,22.56,79.8,157.63,1
5.19,54.59,12.45,80.06,111.68,1
7.17,51.97,20.28,83.16,135.81,1
9.93,77.89,29.7,20.38,145.48,1
1.75,45.09,14.71,40.87,71.04,1
3.11,59.38,24.45,29.37,93.77,1
4.25,43.17,18.7,51.78,96.71,1
4.51,30.58,23.05,54.68,101.21,1
4.4,97.9,14.1,37.91,105.66,1
9.12,60.22,19.41,70.64,143.24,1
7.28,97.85,29.6,38.88,146.66,1
6.28,39.82,13.91,79.77,114.36,1
3.44,71.12,22.73,32.44,99.4,1
8.33,44.07,21.51,45.71,122.73,1
9.57,85.31,21.3,63.56,155.27,1
8.3,84.86,22.3,62.37,148.38,1
0.51,37.88,20.04,25.46,61.0,1
6.55,93.84,10.34,79.24,131.97,1
0.99,43.62,28.0,61.86,96.32,1
2.95,72.91,26.54,80.89,127.12,1
1.07,98.99,13.48,80.73,106.6,1
6.24,91.77,18.27,58.21,130.66,1
7.02,96.96,25.41,83.75,160.89,1
1.59,53.98,29.6,79.39,115.23,1
4.15,37.39,29.02,87.07,126.92,1
4.83,43.18,27.99,79.53,128.0,1
4.01,65.03,13.17,77.48,108.57,1
1.65,85.53,28.29,52.86,112.98,1
4.48,40.51,27.57,34.84,101.86,1
7.64,76.18,17.54,83.75,144.5,1
1.17,52.65,17.89,70.58,90.21,1
1.26,53.88,19.2,39.72,77.77,1
3.87,76.33,23.12,43.87,110.37,1
9.45,62.69,15.22,68.03,138.62,1
6.85,86.84,10.46,53.45,118.25,1
6.95,40.91,12.82,25.7,90.14,1
3.94,85.3,18.8,29.9,100.91,1
6.14,34.5,15.64,72.2,110.2,1
0.6,43.58,25.29,43.0,80.47,1
6.54,75.93,12.13,55.54,115.58,1
9.18,89.84,28.35,73.66,170.37,1
6.32,47.69,27.91,72.58,135.15,1
8.8,52.9,28.18,31.69,132.08,1
7.38,67.6,24.79,26.89,121.95,1
1.65,44.81,12.14,61.38,76.72,1
9.07,86.78,18.76,71.91,153.23,1
1.13,84.15,12.63,30.43,74.6,1
5.57,40.17,29.75,46.04,117.13,1
1.85,62.47,16.66,80.92,101.54,1
0.61,84.24,21.71,86.1,112.97,1
4.51,53.61,25.59,51.78,112.78,1
3.3,74.32,28.41,25.57,104.93,1
5.12,33.51,25.11,38.04,100.81,1
5.98,72.61,23.49,36.31,118.31,1
0.92,40.69,19.32,36.73,69.14,1
1.67,88.14,22.11,54.57,105.73,1
5.81,54.88,11.88,60.83,105.05,1
3.76,49.71,27.68,28.58,98.25,1
7.43,88.86,20.88,82.25,152.57,1
6.7,33.51,10.8,63.4,101.5,1
8.53,57.76,28.4,61.81,147.79,1
7.08,55.9,19.79,89.11,139.08,1
4.58,49.94,27.37,63.97,120.5,1
6.89,93.82,27.14,85.03,162.09,1
3.12,82.56,26.32,40.04,111.24,1
3.41,34.47,11.23,36.81,69.5,1
8.0,80.03,14.94,56.16,130.5,1
4.74,66.91,27.51,55.6,124.27,1
8.08,93.06,27.98,35.85,145.6,1
8.31,51.91,19.16,68.98,133.85,1
8.65,70.19,18.8,22.07,119.21,1
9.21,65.05,13.5,68.34,135.7,1
4.59,64.27,29.37,52.0,123.3,1
3.53,61.93,14.26,68.23,101.46,1
6.03,44.39,13.82,53.4,101.37,1
4.03,82.9,23.21,88.41,136.36,1
6.21,61.59,14.86,43.43,105.9,1
7.2,97.1,28.78,88.78,169.6,1
7.04,48.26,10.22,24.55,89.15,1
4.06,77.79,10.12,67.86,104.59,1
2.09,95.85,20.1,51.8,106.93,1
4.59,76.44,19.76,77.55,126.53,1
1.85,90.99,13.27,75.27,105.04,1
8.96,87.92,19.89,76.01,156.77,1
3.79,55.21,18.23,26.63,85.48,1
1.97,72.01,27.81,77.57,121.12,1
0.74,40.94,10.19,34.98,53.59,1
6.64,67.49,29.53,21.8,122.03,1
6.55,46.13,22.49,35.24,109.11,1
3.74,82.06,13.04,53.55,101.6,1
1.18,66.96,10.94,71.95,86.25,1
4.39,58.79,20.76,35.3,98.65,1
3.46,48.82,14.7,27.91,76.29,1
6.93,99.91,16.02,65.22,138.18,1
6.25,35.02,14.9,88.87,118.29,1
3.96,33.05,23.0,62.06,102.51,1
2.57,45.21,21.07,68.37,99.29,1
9.89,97.98,11.56,59.28,145.51,1
4.81,98.55,20.53,74.76,136.46,1
7.04,75.84,25.82,88.31,155.46,1
1.84,91.61,11.62,58.09,94.16,1
5.11,44.98,27.79,49.18,114.93,1
0.76,98.04,21.57,80.22,116.24,1
5.3,39.99,29.01,87.88,135.25,1
9.66,37.08,12.96,29.04,106.75,1
4.15,37.85,29.87,60.47,115.08,1
